20201202 10:37:11 Home condition : entered into insert debit
20201202 10:37:12 Home condition : EDC serial port close
20201202 10:37:12 Home condition : EDC serial port write
20201202 10:38:13 Home condition : clear transaksi success
20201202 10:38:13 Home condition : clear transaction log success
20201202 10:38:13 Home condition : clear array success
20201202 10:38:13 Home condition : clear array nasabah success
20201202 10:38:13 Home condition : clear list success
20201202 10:38:13 Home condition : clear transaksi baru success
20201202 10:38:14 Home condition : clear transaksi success
20201202 10:38:14 Home condition : clear transaction log success
20201202 10:38:14 Home condition : clear array success
20201202 10:38:14 Home condition : clear array nasabah success
20201202 10:38:14 Home condition : clear list success
20201202 10:38:14 Home condition : clear transaksi baru success
20201202 10:38:21 Home condition : input kartu success
20201202 10:38:21 Home condition : move to input pin
20201202 10:38:23 Home condition : EDC process start
20201202 10:38:23 Home condition : entered into insert debit
20201202 10:38:25 Home condition : EDC serial port close
20201202 10:38:25 Home condition : EDC serial port write
20201202 10:38:43 Home condition : EDC error --> The port is closed.
20201202 10:38:46 Home condition : EDC process start
20201202 10:38:48 Home condition : EDC serial port close
20201202 10:38:48 Home condition : EDC serial port write
20201202 10:38:48 Home condition : EDC error --> The port is closed.
20201202 10:38:50 Home condition : EDC process start
20201202 10:38:51 Home condition : EDC serial port close
20201202 10:38:51 Home condition : EDC serial port write
20201202 10:38:52 Home condition : EDC error --> The port is closed.
20201202 10:43:29 Home condition : clear transaksi success
20201202 10:43:29 Home condition : clear transaction log success
20201202 10:43:29 Home condition : clear array success
20201202 10:43:29 Home condition : clear array nasabah success
20201202 10:43:29 Home condition : clear list success
20201202 10:43:29 Home condition : clear transaksi baru success
20201202 10:43:30 Home condition : clear transaksi success
20201202 10:43:30 Home condition : clear transaction log success
20201202 10:43:30 Home condition : clear array success
20201202 10:43:30 Home condition : clear array nasabah success
20201202 10:43:30 Home condition : clear list success
20201202 10:43:30 Home condition : clear transaksi baru success
20201202 10:43:46 Home condition : input kartu success
20201202 10:43:46 Home condition : move to input pin
20201202 10:43:49 Home condition : EDC process start
20201202 10:43:49 Home condition : entered into insert debit
20201202 10:43:50 Home condition : EDC serial port close
20201202 10:43:50 Home condition : EDC serial port write
20201202 10:43:53 Home condition : EDC serial port already open
20201202 10:44:01 Home condition : EDC serial port close
20201202 10:45:03 Home condition : clear transaksi success
20201202 10:45:03 Home condition : clear transaction log success
20201202 10:45:03 Home condition : clear array success
20201202 10:45:03 Home condition : clear array nasabah success
20201202 10:45:03 Home condition : clear list success
20201202 10:45:03 Home condition : clear transaksi baru success
20201202 10:45:04 Home condition : clear transaksi success
20201202 10:45:04 Home condition : clear transaction log success
20201202 10:45:04 Home condition : clear array success
20201202 10:45:04 Home condition : clear array nasabah success
20201202 10:45:04 Home condition : clear list success
20201202 10:45:04 Home condition : clear transaksi baru success
20201202 10:45:07 Home condition : input kartu success
20201202 10:45:07 Home condition : move to input pin
20201202 10:45:09 Home condition : EDC process start
20201202 10:45:09 Home condition : entered into insert debit
20201202 10:45:10 Home condition : EDC serial port close
20201202 10:45:10 Home condition : EDC serial port write
20201202 10:45:12 Home condition : EDC serial port already open
20201202 10:45:14 Home condition : EDC serial port close
20201202 10:53:53 Home condition : clear transaksi success
20201202 10:53:54 Home condition : clear transaction log success
20201202 10:53:54 Home condition : clear array success
20201202 10:53:54 Home condition : clear array nasabah success
20201202 10:53:54 Home condition : clear list success
20201202 10:53:54 Home condition : clear transaksi baru success
20201202 10:53:54 Home condition : clear transaksi success
20201202 10:53:54 Home condition : clear transaction log success
20201202 10:53:54 Home condition : clear array success
20201202 10:53:54 Home condition : clear array nasabah success
20201202 10:53:54 Home condition : clear list success
20201202 10:53:54 Home condition : clear transaksi baru success
20201202 10:53:55 Home condition : input kartu success
20201202 10:53:55 Home condition : move to input pin
20201202 10:53:57 Home condition : entered into insert debit
20201202 10:54:53 Home condition : clear transaksi success
20201202 10:54:53 Home condition : clear transaction log success
20201202 10:54:53 Home condition : clear array success
20201202 10:54:53 Home condition : clear array nasabah success
20201202 10:54:53 Home condition : clear list success
20201202 10:54:53 Home condition : clear transaksi baru success
20201202 10:54:54 Home condition : clear transaksi success
20201202 10:54:54 Home condition : clear transaction log success
20201202 10:54:54 Home condition : clear array success
20201202 10:54:54 Home condition : clear array nasabah success
20201202 10:54:54 Home condition : clear list success
20201202 10:54:54 Home condition : clear transaksi baru success
20201202 10:54:55 Home condition : input kartu success
20201202 10:54:55 Home condition : move to input pin
20201202 10:55:24 Home condition : entered into insert debit
20201202 10:56:19 Home condition : clear transaksi success
20201202 10:56:19 Home condition : clear transaction log success
20201202 10:56:19 Home condition : clear array success
20201202 10:56:19 Home condition : clear array nasabah success
20201202 10:56:19 Home condition : clear list success
20201202 10:56:19 Home condition : clear transaksi baru success
20201202 10:56:19 Home condition : clear transaksi success
20201202 10:56:19 Home condition : clear transaction log success
20201202 10:56:19 Home condition : clear array success
20201202 10:56:20 Home condition : clear array nasabah success
20201202 10:56:20 Home condition : clear list success
20201202 10:56:20 Home condition : clear transaksi baru success
20201202 10:56:21 Home condition : input kartu success
20201202 10:56:21 Home condition : move to input pin
20201202 10:56:28 Home condition : entered into insert debit
20201202 10:59:46 Home condition : clear transaksi success
20201202 10:59:46 Home condition : clear transaction log success
20201202 10:59:46 Home condition : clear array success
20201202 10:59:46 Home condition : clear array nasabah success
20201202 10:59:46 Home condition : clear list success
20201202 10:59:46 Home condition : clear transaksi baru success
20201202 10:59:46 Home condition : clear transaksi success
20201202 10:59:46 Home condition : clear transaction log success
20201202 10:59:46 Home condition : clear array success
20201202 10:59:46 Home condition : clear array nasabah success
20201202 10:59:46 Home condition : clear list success
20201202 10:59:46 Home condition : clear transaksi baru success
20201202 10:59:48 Home condition : input kartu success
20201202 10:59:48 Home condition : move to input pin
20201202 10:59:50 Home condition : EDC process start
20201202 10:59:50 Home condition : entered into insert debit
20201202 10:59:50 Home condition : EDC serial port close
20201202 10:59:50 Home condition : EDC serial port open
20201202 10:59:51 Home condition : EDC serial port write
20201202 10:59:52 Home condition : EDC serial port already open
20201202 10:59:55 Home condition : EDC serial port already open
20201202 10:59:56 Home condition : EDC serial port already open
20201202 10:59:58 Home condition : EDC serial port already open
20201202 10:59:58 Home condition : EDC serial port already open
