20201203 11:08:35 Home condition : EDC serial port already open
20201203 11:08:35 Home condition : 1
20201203 11:08:35 Home condition : EDC pin 1
20201203 11:08:35 Home condition : EDC serial port already open
20201203 11:08:35 Home condition : EDC serial port already open
20201203 11:08:35 Home condition : 11
20201203 11:08:35 Home condition : EDC pin 1
20201203 11:08:35 Home condition : EDC serial port already open
20201203 11:08:36 Home condition : EDC serial port already open
20201203 11:08:36 Home condition : 111
20201203 11:08:36 Home condition : EDC pin 1
20201203 11:08:36 Home condition : EDC serial port already open
20201203 11:08:36 Home condition : EDC serial port already open
20201203 11:08:36 Home condition : EDC serial port already open
20201203 11:08:36 Home condition : 1111
20201203 11:08:36 Home condition : EDC pin 1
20201203 11:08:37 Home condition : EDC serial port already open
20201203 11:08:37 Home condition : EDC serial port already open
20201203 11:08:37 Home condition : 11111
20201203 11:08:37 Home condition : EDC pin 1
20201203 11:08:37 Home condition : EDC serial port already open
20201203 11:08:38 Home condition : EDC serial port already open
20201203 11:08:38 Home condition : 111111
20201203 11:08:38 Home condition : EDC pin 1
20201203 11:08:38 Home condition : EDC serial port already open
20201203 11:08:38 Home condition : EDC serial port already open
20201203 11:08:38 Home condition : EDC serial port close
20201203 11:08:40 Histori condition : post service start
20201203 11:08:42 Histori condition : post service start
20201203 11:08:47 Home condition : clear transaksi success
20201203 11:08:47 Home condition : clear transaction log success
20201203 11:08:47 Home condition : clear array success
20201203 11:08:47 Home condition : clear array nasabah success
20201203 11:08:47 Home condition : clear list success
20201203 11:08:47 Home condition : clear transaksi baru success
20201203 11:08:47 Home condition : clear transaksi success
20201203 11:08:47 Home condition : clear transaction log success
20201203 11:08:47 Home condition : clear array success
20201203 11:08:47 Home condition : clear array nasabah success
20201203 11:08:47 Home condition : clear list success
20201203 11:08:47 Home condition : clear transaksi baru success
20201203 11:08:48 Home condition : input kartu success
20201203 11:08:48 Home condition : move to input pin
20201203 11:08:48 Home condition : EDC process start
20201203 11:08:49 Home condition : entered into insert debit
20201203 11:08:49 Home condition : EDC serial port close
20201203 11:08:49 Home condition : EDC serial port open
20201203 11:08:49 Home condition : EDC serial port write
20201203 11:08:49 Home condition : EDC serial port already open
20201203 11:08:49 Home condition : EDC serial port already open
20201203 11:08:49 Home condition : EDC serial port already open
20201203 11:08:50 Home condition : EDC serial port already open
20201203 11:08:50 Home condition : EDC serial port already open
20201203 11:08:50 Home condition : EDC serial port already open
20201203 11:08:51 Home condition : EDC serial port already open
20201203 11:08:51 Home condition : EDC serial port already open
20201203 11:08:51 Home condition : EDC serial port already open
20201203 11:08:51 Home condition : EDC serial port already open
20201203 11:08:52 Home condition : EDC serial port already open
20201203 11:08:52 Home condition : EDC serial port already open
20201203 11:08:52 Home condition : EDC serial port already open
20201203 11:08:52 Home condition : EDC serial port already open
20201203 11:08:53 Home condition : EDC serial port already open
20201203 11:08:53 Home condition : EDC serial port already open
20201203 11:08:53 Home condition : EDC serial port already open
20201203 11:08:53 Home condition : EDC serial port already open
