20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:05 Ganti pin condition : EDC serial port already open
20201021 11:01:06 Ganti pin condition : EDC serial port already open
20201021 11:01:06 Ganti pin condition : EDC serial port already open
20201021 11:01:06 Ganti pin condition : EDC serial port already open
20201021 11:01:06 Ganti pin condition : EDC serial port already open
20201021 11:01:06 Ganti pin condition : EDC serial port already open
20201021 11:01:06 Ganti pin condition : EDC serial port already open
20201021 11:01:07 Ganti pin condition : EDC serial port already open
20201021 11:01:07 Ganti pin condition : EDC serial port already open
20201021 11:01:07 Ganti pin condition : EDC serial port already open
20201021 11:01:07 Ganti pin condition : EDC serial port already open
20201021 11:01:07 Ganti pin condition : EDC serial port already open
20201021 11:01:07 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:08 Ganti pin condition : EDC serial port already open
20201021 11:01:09 Ganti pin condition : EDC serial port already open
20201021 11:01:09 Ganti pin condition : EDC serial port already open
20201021 11:01:09 Ganti pin condition : EDC serial port already open
20201021 11:01:09 Ganti pin condition : EDC serial port already open
20201021 11:01:09 Ganti pin condition : EDC serial port already open
20201021 11:01:09 Ganti pin condition : EDC serial port already open
20201021 11:01:10 Ganti pin condition : EDC serial port already open
20201021 11:01:10 Ganti pin condition : EDC serial port already open
20201021 11:01:10 Ganti pin condition : EDC serial port already open
20201021 11:01:10 Ganti pin condition : EDC serial port already open
20201021 11:01:10 Ganti pin condition : EDC serial port already open
20201021 11:01:10 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:11 Ganti pin condition : EDC serial port already open
20201021 11:01:12 Ganti pin condition : EDC serial port already open
20201021 11:01:12 Ganti pin condition : EDC serial port already open
20201021 11:01:12 Ganti pin condition : EDC serial port already open
20201021 11:01:12 Ganti pin condition : EDC serial port already open
20201021 11:01:12 Ganti pin condition : EDC serial port already open
20201021 11:01:12 Ganti pin condition : EDC serial port already open
20201021 11:01:13 Ganti pin condition : EDC serial port already open
20201021 11:01:13 Ganti pin condition : EDC serial port already open
20201021 11:01:13 Ganti pin condition : EDC serial port already open
20201021 11:01:13 Ganti pin condition : EDC serial port already open
20201021 11:01:13 Ganti pin condition : EDC serial port already open
20201021 11:01:13 Ganti pin condition : EDC serial port already open
20201021 11:01:14 Ganti pin condition : EDC serial port already open
20201021 11:01:14 Ganti pin condition : EDC serial port already open
20201021 11:01:14 Ganti pin condition : EDC serial port already open
20201021 11:01:14 Ganti pin condition : EDC serial port already open
